split,class,source,augmented
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_120688.jpg,PBC_balanced_notebook/train/basophil/BA_120688_aug_00000.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_566587.jpg,PBC_balanced_notebook/train/basophil/BA_566587_aug_00001.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_725557.jpg,PBC_balanced_notebook/train/basophil/BA_725557_aug_00002.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_442038.jpg,PBC_balanced_notebook/train/basophil/BA_442038_aug_00003.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_661622.jpg,PBC_balanced_notebook/train/basophil/BA_661622_aug_00004.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_338090.jpg,PBC_balanced_notebook/train/basophil/BA_338090_aug_00005.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_931171.jpg,PBC_balanced_notebook/train/basophil/BA_931171_aug_00006.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_377164.jpg,PBC_balanced_notebook/train/basophil/BA_377164_aug_00007.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_583859.jpg,PBC_balanced_notebook/train/basophil/BA_583859_aug_00008.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_142746.jpg,PBC_balanced_notebook/train/basophil/BA_142746_aug_00009.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_569632.jpg,PBC_balanced_notebook/train/basophil/BA_569632_aug_00010.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_339232.jpg,PBC_balanced_notebook/train/basophil/BA_339232_aug_00011.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_916894.jpg,PBC_balanced_notebook/train/basophil/BA_916894_aug_00012.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_818588.jpg,PBC_balanced_notebook/train/basophil/BA_818588_aug_00013.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_28660.jpg,PBC_balanced_notebook/train/basophil/BA_28660_aug_00014.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_301562.jpg,PBC_balanced_notebook/train/basophil/BA_301562_aug_00015.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_620858.jpg,PBC_balanced_notebook/train/basophil/BA_620858_aug_00016.jpg
train,basophil,pbc_extracted/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/basophil/BA_303637.jpg,PBC_balanced_notebook/train/basophil/BA_303637_aug_00017.jpg
